review_id,review_text,pattern,category,rating
0,this product is not bad at all,Negation,Home,2
1,Wow great! Broke on day 1,Sarcasm,Home,2
2,Product bahut accha hai lekin delivery late thi,Code-mixing,Food,4
3,Returned it within 2 hours,Implicit,Home,5
4,Way better than my previous Samsung,Comparative,Clothing,3
5,Amazing camera quality but the battery is atrocious and customer support was unhelpful.,None,Electronics,5
6,"The fabric is soft and comfortable, but the stitching is coming loose after one wash.",None,Clothing,2
7,"Delicious food and great ambiance, however the service was extremely slow.",None,Food,3
8,good delivery bad good good delivery item product good,Basic,Home,5
9,bad item good bad,Basic,Food,2
10,product okay item bad price delivery bad okay bad,Basic,Beauty,1
11,price okay good good delivery,Basic,Home,5
12,bad good item good price good okay product,Basic,Beauty,3
13,okay bad good product delivery price delivery price okay item,Basic,Home,4
14,okay okay bad bad price product product bad delivery bad,Basic,Home,4
15,bad price product bad okay delivery good,Basic,Home,3
16,good okay bad bad price price okay product okay price,Basic,Home,3
17,bad good delivery item delivery okay product,Basic,Food,4
18,bad price item good good good,Basic,Electronics,2
19,bad product product okay product item bad item price,Basic,Home,2
20,delivery product item bad product good item item price,Basic,Food,1
21,bad item bad price price okay product product bad,Basic,Food,1
22,bad price price price product item good okay price delivery,Basic,Food,5
23,good price price good item,Basic,Beauty,5
24,price item good product,Basic,Books,1
25,bad item product price price delivery product product,Basic,Food,2
26,price product item item good bad okay,Basic,Electronics,1
27,item product good product good good good okay,Basic,Electronics,3
28,bad product bad good price item item delivery,Basic,Electronics,5
29,okay good product okay okay price good product product good,Basic,Clothing,3
30,okay price bad bad item okay bad bad price,Basic,Clothing,3
31,delivery delivery good product item good good,Basic,Food,3
32,delivery bad item bad okay good okay price bad delivery,Basic,Books,3
33,bad product delivery delivery product item bad,Basic,Clothing,5
34,price product item delivery good,Basic,Clothing,5
35,item price item good item delivery good good,Basic,Food,1
36,bad good price bad product product okay product item price,Basic,Food,3
37,product okay bad good product,Basic,Food,4
38,okay delivery good item price price good,Basic,Home,5
39,item good okay good bad,Basic,Books,1
40,bad delivery product product price product,Basic,Home,5
41,product item price good,Basic,Clothing,4
42,bad price delivery bad bad,Basic,Clothing,2
43,delivery bad product bad item,Basic,Books,2
44,good product delivery good okay good price bad item product,Basic,Home,2
45,good good price price item delivery product bad,Basic,Beauty,5
46,good okay price price good,Basic,Beauty,4
47,bad bad good delivery price okay,Basic,Books,4
48,delivery price bad bad delivery bad okay bad,Basic,Food,1
49,delivery okay product delivery bad bad,Basic,Food,2
50,good price price bad delivery item okay delivery bad,Basic,Home,4
51,product okay bad good,Basic,Clothing,4
52,bad product okay price item price good price bad price,Basic,Home,5
53,good product okay delivery item price,Basic,Electronics,3
54,okay product bad product,Basic,Clothing,5
55,item delivery product price,Basic,Clothing,3
56,product okay good product okay okay delivery delivery okay,Basic,Books,1
57,product okay product item bad product,Basic,Home,3
58,product price product okay item good okay,Basic,Food,2
59,delivery product okay item product item delivery,Basic,Home,4
60,delivery product bad product product good price bad okay delivery,Basic,Books,4
61,good bad item delivery good,Basic,Books,5
62,price product delivery okay okay bad product,Basic,Food,3
63,price price delivery bad delivery product item item price good,Basic,Beauty,1
64,delivery product price product price,Basic,Beauty,1
65,product delivery item delivery item price delivery,Basic,Clothing,2
